x_m,y_m
-741.9735,-903.2964
-742.5413,-900.3509
-743.1042,-897.4031
-743.6549,-894.4553
-744.1887,-891.5031
-744.6997,-888.5487
-745.1816,-885.5898
-745.6294,-882.6253
-746.0361,-879.6553
-746.4016,-876.6853
-746.7267,-873.7086
-747.0120,-870.7241
-747.2569,-867.7363
-747.4613,-864.7429
-747.6252,-861.7462
-747.7495,-858.7473
-747.8325,-855.7450
-747.8744,-852.7428
-747.8765,-849.7405
-747.8368,-846.7382
-747.7558,-843.7382
-747.6345,-840.7404
-747.4705,-837.7459
-747.2661,-834.7548
-747.0198,-831.7692
-746.7317,-828.7892
-746.4024,-825.8147
-746.0319,-822.8425
-745.6231,-819.8747
-745.1773,-816.9124
-744.6961,-813.9546
-744.1801,-811.0013
-743.6315,-808.0546
-743.0509,-805.1124
-742.4398,-802.1747
-741.8004,-799.2436
-741.1332,-796.3180
-740.4405,-793.3980
-739.7229,-790.4836
-738.9812,-787.5759
-738.2183,-784.6737
-737.4340,-781.7771
-736.6313,-778.8882
-735.8101,-776.0049
-734.9726,-773.1283
-734.1188,-770.2562
-733.2472,-767.3873
-732.3579,-764.5252
-731.4530,-761.6675
-730.5324,-758.8142
-729.5956,-755.9665
-728.6445,-753.1232
-727.6785,-750.2844
-726.6991,-747.4512
-725.7061,-744.6213
-724.7004,-741.7969
-723.6827,-738.9759
-722.6528,-736.1593
-721.6116,-733.3472
-720.5591,-730.5395
-719.4966,-727.7363
-718.4248,-724.9364
-717.3432,-722.1399
-716.2530,-719.3478
-715.1543,-716.5590
-714.0493,-713.7725
-712.9385,-710.9881
-711.8228,-708.2049
-710.7035,-705.4240
-709.5807,-702.6441
-708.4543,-699.8664
-707.3258,-697.0888
-706.1959,-694.3122
-705.0646,-691.5357
-703.9332,-688.7592
-702.8012,-685.9837
-701.6699,-683.2072
-700.5399,-680.4307
-699.4122,-677.6530
-698.2865,-674.8743
-697.1637,-672.0944
-696.0451,-669.3134
-694.9308,-666.5302
-693.8208,-663.7459
-692.7171,-660.9582
-691.6177,-658.1694
-690.5233,-655.3784
-689.4338,-652.5852
-688.3500,-649.7909
-687.2705,-646.9932
-686.1967,-644.1945
-685.1285,-641.3924
-684.0660,-638.5891
-683.0092,-635.7837
-681.9581,-632.9760
-680.9133,-630.1661
-679.8742,-627.3529
-678.8416,-624.5385
-677.8160,-621.7209
-676.7968,-618.9021
-675.7840,-616.0799
-674.7783,-613.2556
-673.7789,-610.4290
-672.7874,-607.6002
-671.8030,-604.7692
-670.8264,-601.9348
-669.8583,-599.0971
-668.8994,-596.2561
-667.9498,-593.4129
-667.0080,-590.5663
-666.0746,-587.7174
-665.1484,-584.8664
-664.2293,-582.0120
-663.3173,-579.1566
-662.4109,-576.2977
-661.5103,-573.4378
-660.6160,-570.5768
-659.7260,-567.7135
-658.8402,-564.8480
-657.9594,-561.9825
-657.0821,-559.1148
-656.2084,-556.2471
-655.3376,-553.3771
-654.4689,-550.5072
-653.6030,-547.6372
-652.7364,-544.7673
-651.8669,-541.8974
-650.9954,-539.0285
-650.1231,-536.1608
-649.2508,-533.2920
-648.3799,-530.4220
-647.5119,-527.5521
-646.6489,-524.6810
-645.7901,-521.8078
-644.9384,-518.9334
-644.0945,-516.0568
-643.2598,-513.1768
-642.4358,-510.2946
-641.6231,-507.4080
-640.8190,-504.5214
-639.9992,-501.6348
-639.1752,-498.7459
-638.3604,-495.8515
-637.5719,-492.9516
-636.8238,-490.0438
-636.1318,-487.1250
-635.5108,-484.1961
-634.9771,-481.2528
-634.5448,-478.2939
-634.2304,-475.3216
-634.0800,-472.3538
-634.1133,-469.3638
-634.3248,-466.3671
-634.7116,-463.3793
-635.2695,-460.4137
-635.9941,-457.4848
-636.8813,-454.6093
-637.9275,-451.7994
-639.1284,-449.0718
-640.4847,-446.4310
-642.0000,-443.8690
-643.6601,-441.3916
-645.4515,-438.9953
-647.3622,-436.6814
-649.3778,-434.4497
-651.4865,-432.2981
-653.6746,-430.2287
-655.9295,-428.2395
-658.2376,-426.3291
-660.5890,-424.4978
-662.9879,-422.7153
-665.4238,-420.9773
-667.8937,-419.2872
-670.3977,-417.6426
-672.9322,-416.0458
-675.4979,-414.4969
-678.0906,-412.9946
-680.7110,-411.5402
-683.3556,-410.1347
-686.0242,-408.7770
-688.7141,-407.4694
-691.4247,-406.2095
-694.1579,-404.9986
-696.9124,-403.8355
-699.6854,-402.7169
-702.4740,-401.6383
-705.2768,-400.5953
-708.0924,-399.5834
-710.9186,-398.5982
-713.7533,-397.6353
-716.5951,-396.6912
-719.4419,-395.7594
-722.2908,-394.8376
-725.1419,-393.9203
-727.9915,-393.0029
-730.8383,-392.0811
-733.6794,-391.1515
-736.5170,-390.2063
-739.3532,-389.2390
-742.1829,-388.2426
-745.0020,-387.2130
-747.8062,-386.1444
-750.5906,-385.0302
-753.3522,-383.8649
-756.0854,-382.6440
-758.7860,-381.3619
-761.4504,-380.0120
-764.0743,-378.5898
-766.6529,-377.0887
-769.1781,-375.5053
-771.6395,-373.8351
-774.0463,-372.0638
-776.3934,-370.1957
-778.6717,-368.2342
-780.8762,-366.1838
-782.9990,-364.0477
-785.0339,-361.8305
-786.9729,-359.5343
-788.8090,-357.1626
-790.5358,-354.7207
-792.1462,-352.2110
-793.6332,-349.6391
-794.9959,-346.9982
-796.2401,-344.2840
-797.3629,-341.5052
-798.3636,-338.6697
-799.2395,-335.7876
-799.9897,-332.8676
-800.6107,-329.9176
-801.1018,-326.9464
-801.4610,-323.9631
-801.6867,-320.9775
-801.7754,-317.9964
-801.7285,-315.0241
-801.5518,-312.0474
-801.2516,-309.0741
-800.8321,-306.1074
-800.2970,-303.1518
-799.6504,-300.2152
-798.8959,-297.3008
-798.0379,-294.4141
-797.0804,-291.5598
-796.0271,-288.7432
-794.8830,-285.9711
-793.6502,-283.2457
-792.3322,-280.5726
-790.9454,-277.9206
-789.5102,-275.2931
-788.0311,-272.6889
-786.5094,-270.1092
-784.9480,-267.5517
-783.3504,-265.0153
-781.7186,-262.5001
-780.0557,-260.0038
-778.3644,-257.5263
-776.6468,-255.0667
-774.9058,-252.6249
-773.1449,-250.1986
-771.3656,-247.7879
-769.5713,-245.3916
-767.7615,-243.0043
-765.9367,-240.6280
-764.0985,-238.2629
-762.2482,-235.9067
-760.3865,-233.5605
-758.5142,-231.2210
-756.6319,-228.8903
-754.7412,-226.5652
-752.8433,-224.2468
-750.9376,-221.9351
-749.0270,-219.6267
-747.1107,-217.3238
-745.1901,-215.0232
-743.2667,-212.7259
-741.3412,-210.4308
-739.4142,-208.1369
-737.4872,-205.8429
-735.5617,-203.5479
-733.6361,-201.2528
-731.7120,-198.9566
-729.7886,-196.6605
-727.8659,-194.3621
-725.9439,-192.0637
-724.0226,-189.7653
-722.1020,-187.4658
-720.1829,-185.1662
-718.2644,-182.8645
-716.3467,-180.5628
-714.4297,-178.2610
-712.5134,-175.9582
-710.5978,-173.6542
-708.6829,-171.3503
-706.7694,-169.0452
-704.8559,-166.7390
-702.9439,-164.4328
-701.0325,-162.1267
-699.1212,-159.8182
-697.2112,-157.5109
-695.3013,-155.2025
-693.3921,-152.8941
-691.4836,-150.5846
-689.5758,-148.2740
-687.6687,-145.9645
-685.7616,-143.6538
-683.8545,-141.3421
-681.9488,-139.0315
-680.0432,-136.7197
-678.1375,-134.4069
-676.2325,-132.0951
-674.3276,-129.7823
-672.4226,-127.4705
-670.5184,-125.1577
-668.6148,-122.8437
-666.7127,-120.5297
-664.8120,-118.2136
-662.9127,-115.8962
-661.0141,-113.5778
-659.1170,-111.2605
-657.2198,-108.9410
-655.3227,-106.6226
-653.4262,-104.3031
-651.5291,-101.9847
-649.6312,-99.6662
-647.7334,-97.3478
-645.8341,-95.0305
-643.9341,-92.7143
-642.0320,-90.3993
-640.1291,-88.0853
-638.2242,-85.7735
-636.3171,-83.4629
-634.4079,-81.1534
-632.4958,-78.8472
-630.5802,-76.5455
-628.6582,-74.2471
-626.7291,-71.9542
-624.7936,-69.6681
-622.8496,-67.3875
-620.8971,-65.1135
-618.9361,-62.8474
-616.9658,-60.5890
-614.9856,-58.3395
-612.9948,-56.1001
-610.9933,-53.8706
-608.9798,-51.6512
