idx,dist_m,x_m,y_m,elev_m,lat_deg,lon_deg,edge1_lat_deg,edge1_lon_deg,edge2_lat_deg,edge2_lon_deg
1069,3210.0000,-747.6091,-215.1469,596.257,50.33358510,6.93706315,50.33357328,6.93708526,50.33351940,6.93718605
1070,3213.0000,-745.6791,-212.8495,596.081,50.33360534,6.93709112,50.33359397,6.93711232,50.33354012,6.93721272
1071,3216.0000,-743.7470,-210.5542,595.904,50.33362554,6.93711911,50.33361463,6.93713942,50.33356088,6.93723939
1072,3219.0000,-741.8134,-208.2601,595.726,50.33364576,6.93714706,50.33363527,6.93716655,50.33358168,6.93726606
1073,3222.0000,-739.8799,-205.9659,595.555,50.33366600,6.93717495,50.33365590,6.93719370,50.33360251,6.93729276
1074,3225.0000,-737.9478,-203.6706,595.387,50.33368629,6.93720272,50.33367653,6.93722085,50.33362340,6.93731950
1075,3228.0000,-736.0156,-201.3753,595.218,50.33370666,6.93723034,50.33369717,6.93724798,50.33364429,6.93734624
1076,3231.0000,-734.0849,-199.0790,595.049,50.33372708,6.93725787,50.33371781,6.93727511,50.33366519,6.93737296
1077,3234.0000,-732.1549,-196.7825,594.885,50.33374755,6.93728530,50.33373846,6.93730222,50.33368609,6.93739967
1078,3237.0000,-730.2257,-194.4839,594.724,50.33376806,6.93731266,50.33375911,6.93732932,50.33370700,6.93742637
1079,3240.0000,-728.2971,-192.1852,594.568,50.33378862,6.93733993,50.33377978,6.93735641,50.33372792,6.93745306
1080,3243.0000,-726.3693,-189.8866,594.415,50.33380921,6.93736714,50.33380045,6.93738349,50.33374882,6.93747977
1081,3246.0000,-724.4421,-187.5867,594.267,50.33382984,6.93739427,50.33382112,6.93741056,50.33376972,6.93750649
1082,3249.0000,-722.5164,-185.2869,594.123,50.33385051,6.93742135,50.33384180,6.93743762,50.33379061,6.93753323
1083,3252.0000,-720.5914,-182.9849,593.977,50.33387120,6.93744838,50.33386248,6.93746466,50.33381147,6.93756001
1084,3255.0000,-718.6672,-180.6828,593.832,50.33389191,6.93747535,50.33388318,6.93749169,50.33383233,6.93758681
1085,3258.0000,-716.7436,-178.3808,593.689,50.33391264,6.93750232,50.33390388,6.93751871,50.33385316,6.93761364
1086,3261.0000,-714.8207,-176.0776,593.547,50.33393336,6.93752928,50.33392458,6.93754572,50.33387400,6.93764048
1087,3264.0000,-712.8986,-173.7734,593.407,50.33395409,6.93755624,50.33394529,6.93757272,50.33389483,6.93766732
1088,3267.0000,-710.9772,-171.4691,593.269,50.33397483,6.93758317,50.33396601,6.93759971,50.33391567,6.93769415
1089,3270.0000,-709.0572,-169.1636,593.132,50.33399557,6.93761011,50.33398673,6.93762669,50.33393651,6.93772096
1090,3273.0000,-707.1372,-166.8571,592.998,50.33401632,6.93763702,50.33400746,6.93765365,50.33395737,6.93774774
1091,3276.0000,-705.2186,-164.5506,592.866,50.33403708,6.93766392,50.33402820,6.93768061,50.33397825,6.93777449
1092,3279.0000,-703.3008,-162.2440,592.737,50.33405785,6.93769079,50.33404894,6.93770755,50.33399914,6.93780122
1093,3282.0000,-701.3829,-159.9352,592.610,50.33407863,6.93771764,50.33406968,6.93773448,50.33402003,6.93782794
1094,3285.0000,-699.4665,-157.6276,592.487,50.33409943,6.93774447,50.33409044,6.93776141,50.33404091,6.93785467
1095,3288.0000,-697.5501,-155.3188,592.364,50.33412022,6.93777131,50.33411119,6.93778832,50.33406178,6.93788142
1096,3291.0000,-695.6344,-153.0100,592.242,50.33414100,6.93779816,50.33413195,6.93781523,50.33408265,6.93790818
1097,3294.0000,-693.7194,-150.7000,592.124,50.33416178,6.93782502,50.33415271,6.93784213,50.33410349,6.93793498
1098,3297.0000,-691.8051,-148.3890,592.010,50.33418256,6.93785190,50.33417348,6.93786902,50.33412431,6.93796181
1099,3300.0000,-689.8915,-146.0791,591.895,50.33420333,6.93787877,50.33419426,6.93789590,50.33414511,6.93798868
1100,3303.0000,-687.9779,-143.7680,591.780,50.33422409,6.93790567,50.33421503,6.93792277,50.33416591,6.93801556
1101,3306.0000,-686.0644,-141.4558,591.664,50.33424485,6.93793256,50.33423581,6.93794964,50.33418671,6.93804243
1102,3309.0000,-684.1522,-139.1448,591.547,50.33426562,6.93795946,50.33425660,6.93797651,50.33420750,6.93806932
1103,3312.0000,-682.2401,-136.8326,591.451,50.33428637,6.93798636,50.33427738,6.93800336,50.33422828,6.93809621
1104,3315.0000,-680.3280,-134.5193,591.340,50.33430713,6.93801327,50.33429817,6.93803021,50.33424906,6.93812311
1105,3318.0000,-678.4166,-132.2071,591.230,50.33432789,6.93804018,50.33431897,6.93805706,50.33426983,6.93815002
1106,3321.0000,-676.5051,-129.8938,591.124,50.33434867,6.93806704,50.33433976,6.93808390,50.33429060,6.93817694
1107,3324.0000,-674.5937,-127.5816,591.020,50.33436946,6.93809388,50.33436056,6.93811074,50.33431136,6.93820386
1108,3327.0000,-672.6830,-125.2683,590.919,50.33439028,6.93812069,50.33438135,6.93813758,50.33433214,6.93823075
1109,3330.0000,-670.7730,-122.9538,590.821,50.33441110,6.93814747,50.33440215,6.93816441,50.33435294,6.93825759
1110,3333.0000,-668.8645,-120.6393,590.726,50.33443192,6.93817423,50.33442296,6.93819123,50.33437380,6.93828445
1111,3336.0000,-666.9573,-118.3226,590.635,50.33445276,6.93820097,50.33444377,6.93821803,50.33439467,6.93831128
1112,3339.0000,-665.0516,-116.0048,590.548,50.33447360,6.93822770,50.33446460,6.93824481,50.33441555,6.93833807
1113,3342.0000,-663.1466,-113.6859,590.464,50.33449445,6.93825443,50.33448544,6.93827157,50.33443643,6.93836484
